Gryffindor,Hufflepuff,Ravenclaw,Slytherin,Mean,Std
nan,nan,nan,nan,,
nan,nan,nan,nan,45.32076798810062,514.662482681326
nan,nan,nan,nan,1.0601609648159014,5.131049710668456
nan,nan,nan,nan,-0.4316132252342094,5.1683285334305955
nan,nan,nan,nan,3.073936607142854,4.071255548326971
nan,nan,nan,nan,-227.30325993334273,482.9365782061272
nan,nan,nan,nan,481.89778785955235,105.90484109395238
nan,nan,nan,nan,2.8738224618890245,4.404462158828609
nan,nan,nan,nan,1007.0621752709638,49.37378662586877
nan,nan,nan,nan,-243.4788950892856,8.70722286731012
